TURBO_5_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_5_CORE_FREQ_RTE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
TURBO_4_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_4_CORE_FREQ_RTE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_3_CORE_FREQ_RTE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_21_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_20_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_2_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_2_CORE_FREQ_RTE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
TURBO_19_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_18_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_17_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_16_SMALL_CORE_FREQ_RATE,string,4.5,4.6,0,4.6,4.5,0,0,0,4.5
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_15_SMALL_CORE_FREQ_RATE,string,4.5,4.6,0,4.6,4.5,0,0,0,4.5
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_14_SMALL_CORE_FREQ_RATE,string,4.5,4.6,0,4.6,4.5,0,0,0,4.5
TURBO_14_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_13_SMALL_CORE_FREQ_RATE,string,4.5,4.6,0,4.6,4.5,0,0,0,4.5
TURBO_13_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_12_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_12_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_11_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_11_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_10_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_10_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TUNABLE_THERMAL_DESIGN_PWR_IND,string,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,24,24,24,24,24,24,24,24,24
TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,32,32,28,32,32,28,32,32,32
TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THUNDERBOLT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_GEN,string,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5
THERMAL_TURBO_TEMP_UOM,string,C,C,C,C,C,C,C,C,C
THERMAL_TURBO_TEMP,string,70,70,70,70,70,70,70,70,70
THERMAL_TURBO,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_THROTTLE_UNLOCK,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_DESIGN_POWER_UOM,string,W,W,W,W,W,W,W,W,W
THERMAL_DESIGN_POWER,string,125,125,125,125,125,125,125,125,125
TDX_INDICATOR,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TCONTROL,string,20,20,20,20,20,20,20,20,20
SUB_VERTICAL_SEGMENT,string,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST
STANDARD_MANAGEABILITY,string,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled
SPIRAL_KEYTYPEID,string,0,0,0,0,0,0,0,0,0
SMALL_CORE_SPEED,string,2.7,2.6,2.9,2.6,2.6,2.9,2.7,2.7,2.6
SMALL_CORE_MAX_TURBO_FREQ_RATE,string,4.3,4.6,4.3,4.7,4.5,4.3,4.5,4.3,4.5
SECONDARY_BIOS_REGION,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
RING_TFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_TFM_FREQ,string,4.8,5,4.8,5.1,4.9,4.8,4.9,4.8,4.9
RING_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_LFM_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RING_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_HFM_FREQ,string,3.1,2.9,3.3,2.9,2.9,3.3,3.1,3.1,2.9
qdfSspec,string,L2OQ,L2P5,L2OK,L2OM,L2P6,L2ON,L2OL,l2P7,L2PL
PS-STEP,string,C,C,C,C,C,C,C,C,C
PS-PACKAGE-TECHNOLOGY,string,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW
PS_VERTICAL_SEGMENT,string,DT,DT,DT,DT,DT,DT,DT,DT,DT
PS_EXTERNAL_STEP,string,C,C,C,C,C,C,C,C,C
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,REVENUE
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,4,4,4,4,4,4,4,4,4
primaryContact,string,11487907,11487907,11487907,11487907,11487907,11487907,11487907,11487907,11487907
PLATFORM_ID,string,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
PHYSICAL_SMALL_CORE,string,16,16,16,16,16,16,16,16,16
PHYSICAL_CORE,string,28,28,28,28,28,28,28,28,28
PHYSICAL_BIG_CORE,string,8,8,8,8,8,8,8,8,8
PEG_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
PEG_CONFIGURATION,string,"x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5"
PD_INDEX,string,3,3,3,3,3,3,3,3,3
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777,80777
PCH_LPC_DID,string,D401,D401,D401,D401,D401,D401,D401,D401,D401
PCD_DIE_STEPPING,string,B0,B0,B0,B0,B0,B0,B0,B0,B0
PCD_DIE_CONFIG,string,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S
parentId_Desc,string,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product
parentId,string,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A
OSSEODCACRT_KeyTypeID,string,0,4637,4637,4637,4637,4637,4637,4637,4639
OSSEODCA_KEYTYPEID,string,0,4637,4637,4637,4637,4637,4637,4637,4639
OC_BINS,string,7,7,7,7,7,7,7,7,7
NUMBER_OF_SLICES,string,12,12,11,12,12,11,11,11,12
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MM-TRADEMARK,string,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU,GENUINE INTEL (R) CPU
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,3.4,3.2,3.6,3.2,3.2,3.6,3.4,3.4,3.2
MM-SPEC-NUMBER,string,2OQ,2P5,2OK,2OM,2P6,2ON,2OL,2P7,2PL
MM-SPEC-CODE,string,L,L,L,L,L,L,L,L,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PINCOUNT,string,1954,1954,1954,1954,1954,1954,1954,1954,1954
MM-PACKAGE-MKT-DESIGNATOR,string,AT,AT,AT,AT,AT,AT,AT,AT,AT
MM-ITEM-MARKET-NAME,string,807773B9B577F,807773B9B577B,807773B9B5780,807773B9B577B,807773B9B577B,807773B9B577F,807773B9B577C,807773B9B577C,807773B9B577B
MM-INCORP,string,N,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-CPU-SLOT-TYPE,string,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954
MM-CODE-NAME,string,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,36,36,30,36,36,30,36,36,36
MM-BRANDED,string,N,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4,4
MINIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MINIMUM_IA_SMALL_CORE_FREQ,string,1.5,1.5,1.8,1.5,1.5,1.8,1.5,1.5,1.5
MINIMUM_IA_FREQUENCY_RATE,string,1.5,1.5,1.8,1.5,1.5,1.8,1.5,1.5,1.5
MIN_THERMAL_DESIGN_POWER_RATE,string,65,65,65,65,65,65,65,65,65
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEMORY_TYPE_SUPPORTED,string,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5
MEMORY_MODULES_PER_CHANNEL,string,2,2,2,2,2,2,2,2,2
MEMORY_MAX_QCLK_MHZ,string,3600,4000,3600,4000,4000,3600,3600,3600,4000
MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2
MEMORY_CAPACITY_UOM,string,GB,GB,GB,GB,GB,GB,GB,GB,GB
MEMORY_CAPACITY,string,256,256,256,256,256,256,256,256,256
MEM_FREQ_UOM,string,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ
MEM_BUS_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
MEDIA_VEBOX,string,1,1,0,1,1,1,1,1,1
MEDIA_VDBOXES,string,1,1,0,1,1,1,1,1,1
MEDIA_SFC_INDICATOR,string,1,1,0,1,1,1,1,1,1
MEDIA_MAX_TURBO_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_MAX_TURBO_FREQ,string,1.45,1.45,0,1.45,1.45,1.45,1.45,1.45,1.45
MEDIA_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_LFM_FREQ,string,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2
MEDIA_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_HFM_FREQ,string,1.05,1.05,0,1.05,1.05,1.05,1.05,1.05,1.05
MAXIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAXIMUM_IA_SMALL_CORE_FREQ,string,0,0,0,0,0,0,0,0,0
MAXIMUM_IA_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
MAX_USB2_LANES,string,10,10,10,10,10,10,10,10,10
MAX_TURBO_FREQ_UOM_CD,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TURBO_FREQ_RTE,string,5.3,5.5,5.2,5.6,5.4,5.2,5.4,5.3,5.4
MAX_TRGT_SCKT_CD,string,1S,1S,1S,1S,1S,1S,1S,1S,1S
MAX_THRD_PER_PCSR_CNT,string,28,28,22,28,28,22,24,24,28
MAX_THERMAL_TURBO_FREQUENCY,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_THERMAL_DESIGN_POWER_RATE,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_9CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_8CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_8CORE_FREQ_RATE,string,5.2,5.4,0,5.4,5.2,0,5.3,5.2,5.2
MAX_TEMP_TURBO_7CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_7CORE_FREQ_RATE,string,5.2,5.4,0,5.4,5.2,0,5.3,5.2,5.2
MAX_TEMP_TURBO_6CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_6CORE_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_TEMP_TURBO_5CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_5CORE_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_TEMP_TURBO_4CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_4CORE_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_TEMP_TURBO_3CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_3CORE_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_TEMP_TURBO_2CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_2CORE_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_TEMP_TURBO_16CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_15CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_14CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_13CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_12CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_11CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_10CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0
MAX_TEMP_MAX_TURBO_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_MAX_TURBO_FREQ_RATE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
MAX_PEG_LANE_CNT,string,16,16,16,16,16,16,16,16,16
MAX_PCIE_SPEED,string,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5
MAX_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_HSIO_USB_LANES,string,0,0,0,0,0,0,0,0,0
MAX_HSIO_UFS_PORTS,string,0,0,0,0,0,0,0,0,0
MAX_HSIO_PCIE_LANES,string,24,24,24,24,24,24,24,24,24
MAX_HSIO_GBE_LANES,string,0,0,0,0,0,0,0,0,0
MAX_DIGITAL_DISPLAY_INTERFACES,string,4,4,0,4,4,4,4,4,4
MARKETING_VOLT_NAME,string,STD,STD,STD,STD,STD,STD,STD,STD,STD
MARKET_CODE_NAME,string,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE
makeBuyCode,string,M,M,M,M,M,M,M,M,M
LPM_ENABLED,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
LPE_TURBO_FREQUENCY_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
LPE_TURBO_FREQUENCY_RATE,string,3.3,3.5,3.3,3.6,3.4,3.3,3.3,3.3,3.4
LOWEST_PACKAGE_CORE_STATE_CODE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOWEST_CORE_SLEEP_STATE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOW_POWER_DDR5_FREQ_RATE,string,0,0,0,0,0,0,0,0,0
LINE_ITEM_NAME,string,C0 PO NVL-S.125W.8+16 Static copy L2P7,C0 PO NVL-S.125W.8+16.P2K Nominal,C0 PO NVL-S.125W.6+12.GT0.MS2KF,C0 PO NVL-S.125W.8+16.P2K High,C0 PO NVL-S.125W.8+16.P2K Low,C0 PO NVL-S.125W.6+12.MS2K,C0 PO NVL-S.125W.8+12.P1K Nominal,C0 PO NVL-S.125W.8+12.P1K Low,C0 PO QS-like NVL-S.125W.8+16.P2K Low Copy L2P6
legacyNameIndicator,string,No,No,No,No,No,No,No,No,No
legacyItemCode,string,99DKFP,99DKFM,99DKFT,99DKFM,99DKFM,99DKFP,99DKFN,99DKFN,99DKFM
KEY_LOCKER_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
itemStatus,string,Active,Active,Active,Active,Active,Active,Active,Active,Active
itemClass,string,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor
INTGR_HEAT_SPREADER_IND,string,Y,Y,Y,Y,Y,Y,Y,Y,Y
INTERNAL_REV_STEP,string,C0;C5,C0;C5,C0;C5,C0;C5,C0;C5,C0;C5,C0;C5,C0;C5,C0;C5
INTEL_TURBO_BOOST_TECH_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEL_TRST_EXEC_TECH_IND,string,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT
