LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,VminTC,OK,VminTC
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.BypassPort,-1,-1,-1,-1,-1,OK,-1
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,__shared__::CornerIdentifiers.CCF_C5,DIFF,CCF0@F<s0> (F5: symbolic)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.BaseNumbers,12335,12338,12342,12755,12345,DIFF,<s4>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,PSPRE.CLR_F5,DIFF,PSPRE.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.ringfreq_source,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,FreqValues.CCF_C5,DIFF,<s3> (F5: FreqValues.CCF_C5)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.labels,static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),dynamic (Specs.corefreq/ringfreq),DIFF,static (F5: dynamic)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.has_atomfreq,No,No,No,No,No,OK,No
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPostInstance,PSPOST.CLR_F1+nbl_on,PSPOST.CLR_F2+nbl_on,PSPOST.CLR_F3+nbl_on,PSPOST.CLR_F4+nbl_on,PSPOST.CLR_F5+nbl_on,DIFF,PSPOST.CLR_F<s0>+nbl_on
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesForRetry.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,QA_HOT_Default (F1 only)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrixSingular.FlowIndex,DIFF,FlowMatrix.FlowIndex (F5: Singular)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT,F1_1200,F2_1500,F3_2200,F4_3000,F5_3600,DIFF,F<s0>_<s1>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,VminTC,OK,VminTC
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.BypassPort,-1,-1,-1,-1,-1,OK,-1
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,__shared__::CornerIdentifiers.CCF_C5,DIFF,CCF0@F<s0> (F5: symbolic)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.BaseNumbers,12336,12340,12343,12754,12346,DIFF,<s5>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,PSPRE.CLR_F5,DIFF,PSPRE.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.ringfreq_source,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,FreqValues.CCF_C5,DIFF,<s3> (F5: FreqValues.CCF_C5)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.labels,static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),dynamic (Specs.corefreq/ringfreq),DIFF,static (F5: dynamic)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.has_atomfreq,No,No,No,No,No,OK,No
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPostInstance,PSPOST.CLR_F1+nbl_on,PSPOST.CLR_F2+nbl_on,PSPOST.CLR_F3+nbl_on,PSPOST.CLR_F4+nbl_on,PSPOST.CLR_F5+nbl_on,DIFF,PSPOST.CLR_F<s0>+nbl_on
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesForRetry.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,QA_HOT_Default (F1 only)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrixSingular.FlowIndex,DIFF,FlowMatrix.FlowIndex (F5: Singular)
ARR_CCF_FMAX,Not present,Not present,Not present,Not present,Present (Flow item),DIFF,F5 only
Common.ExecutionMode,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,OK,SearchWithScoreboard
Common.TestMode,SingleVmin,SingleVmin,SingleVmin,SingleVmin,SingleVmin,OK,SingleVmin
Common.VoltageTargets,CCF,CCF,CCF,CCF,CCF,OK,CCF
Common.RecoveryMode,NoRecovery,NoRecovery,NoRecovery,NoRecovery,NoRecovery,OK,NoRecovery
Common.StepSize,0.01,0.01,0.01,0.01,0.01,OK,0.01
