Test Program,Module,Test Instance Name,Parent Flow,Test Template,Test Parameters,Is MTT
Class_NVL_P16C,_,ALL_X_SCREEN_E_STARTCPUPATMODSPKG_X_X_X_X_SET_FDS_CSM,ARR_COMMON_CKX_STARTCPUPATMODSPKG,ScreenTC,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(-1,1,-1); ScreenTestSet=""HcsFdsAppendCSM""; ScreenTestsFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others)",No
Class_NVL_P16C,_,ALL_X_SCREEN_K_STARTCPUPATMODSPKG_X_X_X_X_ATOM_REP2FUSE,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeRepairToFuseTestMethod,"BypassPort=ARR_COMMON_Rules.TPRules(ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,1,1)); FuseNamespace=""CPU0""; LogLevel=""Disabled""; RepairToFuseFilePath=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.repairfuse_others,ARR_COMMON_Specs.repairfuse_others,ARR_COMMON_Specs.repairfuse_others,ARR_COMMON_Specs.repairfuse_48,ARR_COMMON_Specs.repairfuse_48,ARR_COMMON_Specs.repairfuse_48,ARR_COMMON_Specs.repairfuse_others,ARR_COMMON_Specs.repairfuse_others); ResourcesFilePath=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.arraymap_others,ARR_COMMON_Specs.arraymap_others,ARR_COMMON_Specs.arraymap_others,ARR_COMMON_Specs.arraymap_48,ARR_COMMON_Specs.arraymap_48,ARR_COMMON_Specs.arraymap_48,ARR_COMMON_Specs.arraymap_others,ARR_COMMON_Specs.arraymap_others)",No
Class_NVL_P16C,_,ALL_X_SCREEN_K_STARTCPUPATMODSPKG_X_X_X_X_VFDM_REBUILD,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeVirtualFuseExportToSharedStorageTestMethod,"BypassPort=ARR_COMMON_Rules.TPRules(ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1)); FdsSharedStorageKey=""CPU0_FUSE_EMB_VFDM_FDS_BINARY""; FuseDataGap=""CPU0.VF_Heap_Data_Gap.VF_Heap_Data_Gap""; FuseDescriptorGap=""CPU0.VF_Heap_Descriptor_Gap.VF_Heap_Descriptor_Gap""; HcsSharedStorageKey=""CPU0_FUSE_EMB_VFDM_HCS_BINARY""; Namespace=""CPU0""; Tags=""""",No
Class_NVL_P16C,_,X_CPU_GETDFF_E_STARTCPUPATMODSPKG_X_X_X_X_SVFDS1,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeGetDffTestMethod,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); DieId=""DFFVars.DIEID_CPU""; ForceGetFromUBE=""ENABLED""; OpType=""SORT""; Storage=""CPU0_FUSE_EMB_VFDM_FDS1_BINARY""; TokenName=""SVFDS1""",No
Class_NVL_P16C,_,X_CPU_GETDFF_E_STARTCPUPATMODSPKG_X_X_X_X_SVFDS2,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeGetDffTestMethod,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); DieId=""DFFVars.DIEID_CPU""; ForceGetFromUBE=""ENABLED""; OpType=""SORT""; Storage=""CPU0_FUSE_EMB_VFDM_FDS2_BINARY""; TokenName=""SVFDS2""",No
Class_NVL_P16C,_,X_CPU_GETDFF_E_STARTCPUPATMODSPKG_X_X_X_X_SVHCS,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeGetDffTestMethod,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); DieId=""DFFVars.DIEID_CPU""; ForceGetFromUBE=""ENABLED""; OpType=""SORT""; Storage=""CPU0_FUSE_EMB_VFDM_HCS1_BINARY""; TokenName=""SVHCS""",No
Class_NVL_P16C,_,X_CPU_GETDFF_K_STARTCPUPATMODSPKG_X_X_X_X_CSVFDS,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeGetDffTestMethod,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(-1,1,-1); DieId=""DFFVars.DIEID_CPU""; OpType=__shared__::DFFVars.READ_OPTYPE; Storage=""CPU0_FUSE_EMB_VFDM_FDS_BINARY""; TokenName=""CSVFDS""",No
Class_NVL_P16C,_,X_CPU_GETDFF_K_STARTCPUPATMODSPKG_X_X_X_X_CSVHCS,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeGetDffTestMethod,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(-1,1,-1); DieId=""DFFVars.DIEID_CPU""; OpType=__shared__::DFFVars.READ_OPTYPE; Storage=""CPU0_FUSE_EMB_VFDM_HCS_BINARY""; TokenName=""CSVHCS""",No
Class_NVL_P16C,_,SSA_CORE_VMIN_K_ENDCPUPKG_X_CRA_MAX_X_PMUCS_ALL,ARR_CORE_CKX_ENDCPUPKG,VminTC,"BaseNumbers=""12153""; BypassPort=ARR_CORE_Rules.TPRules(-1,1,1,-1,-1,-1,-1,-1); EndVoltageLimits=""0.825""; ExecutionMode=""SearchWithScoreboard""; FailCaptureCount=toInteger(1); FeatureSwitchSettings=ARR_CORE_CKX_Specs.FeatureSwitchNonMTT; FivrCondition=ARR_CORE_CKX_Specs.FivrConditionNom; ForwardingMode=ARR_CORE_CKX_Specs.ForwardingMode_EDC; LevelsTc=""ARR_CORE_CKX::arr_cpu_all_bf_x_x_ipc_lvl_PKG_BFUNC_ARR_MBIST_max_lvl""; MaxFailsNum=toInteger(20); MaxRepetitionCount=1; Patlist=ARR_CORE_Rules.TPRules(ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.dcm01plist_max_others,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48); PatternNameCounterIndexes=ARR_CORE_CKX_Specs.PatternMap; PinMap=ARR_CORE_CKX_Specs.Recovery_PinMap; RecoveryMode=ARR_CORE_CKX_Specs.Recovery_Mode; RecoveryOptions=__shared__::Recovery_Single.F1F4_recovery_opt_CR; RecoveryTrackingIncoming=ARR_CORE_CKX_Specs.RecoveryTracker_In_Rules; RecoveryTrackingOutgoing=ARR_CORE_CKX_Specs.RecoveryTracker_Out_Rules; ScoreboardEdgeTicks=toInteger(0); SetPointsPlistParamName=""Patlist""; SetPointsPreInstance=""MCdrv:"" + ARR_CORE_CKX_Specs.corefreq + "":"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,MCdrv:"" + ARR_CORE_CKX_Specs.ringfreq + "":"" + __shared__::FlowMatrixSingular.CCF_F1_FREQ + ""GHz""; StartVoltages=""0.825""; StepSize=toDouble(0.01); TestMode=""Scoreboard""; TimingsTc=ARR_CORE_CKX_Specs.timingRules; VoltageTargets=ARR_CORE_CKX_Specs.CORE_PMUCS_VoltageTarget",No
Class_NVL_P16C,_,SSA_CORE_VMIN_K_ENDCPUPKG_X_CRA_MAX_X_PMUCS_ALL_C0C1,ARR_CORE_CKX_ENDCPUPKG,VminTC,"BaseNumbers=""12198""; BypassPort=ARR_CORE_Rules.TPRules(1,1,-1,1,1,1,1,1); EndVoltageLimits=""0.825""; ExecutionMode=""SearchWithScoreboard""; FailCaptureCount=toInteger(1); FeatureSwitchSettings=ARR_CORE_CKX_Specs.FeatureSwitchNonMTT; FivrCondition=ARR_CORE_CKX_Specs.FivrConditionNom; ForwardingMode=ARR_CORE_CKX_Specs.ForwardingMode_EDC; InitialMaskBits=""1100""; LevelsTc=""ARR_CORE_CKX::arr_cpu_all_bf_x_x_ipc_lvl_PKG_BFUNC_ARR_MBIST_max_lvl""; MaxFailsNum=toInteger(20); MaxRepetitionCount=1; Patlist=ARR_CORE_Rules.TPRules(ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.dcm01plist_max_others,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48); PatternNameCounterIndexes=ARR_CORE_CKX_Specs.PatternMap; PinMap=ARR_CORE_CKX_Specs.Recovery_PinMap; RecoveryMode=ARR_CORE_CKX_Specs.Recovery_Mode; RecoveryOptions=__shared__::Recovery_Single.F1F4_recovery_opt_CR; RecoveryTrackingIncoming=ARR_CORE_CKX_Specs.RecoveryTracker_Incoming; RecoveryTrackingOutgoing=ARR_CORE_CKX_Specs.RecoveryTracker_Outgoing; ScoreboardEdgeTicks=toInteger(0); SetPointsPlistParamName=""Patlist""; SetPointsPreInstance=""MCdrv:corefreq3_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq2_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq1_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:corefreq0_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:"" + ARR_CORE_CKX_Specs.ringfreq + "":"" + __shared__::FlowMatrixSingular.CCF_F1_FREQ + ""GHz""; StartVoltages=""0.825""; StepSize=toDouble(0.01); TestMode=""Scoreboard""; TimingsTc=ARR_CORE_CKX_Specs.timingRules; VoltageTargets=ARR_CORE_CKX_Specs.CORE_PMUCS_VoltageTarget",No
Class_NVL_P16C,_,SSA_CORE_VMIN_K_ENDCPUPKG_X_CRA_MAX_X_PMUCS_ALL_C2C3,ARR_CORE_CKX_ENDCPUPKG,VminTC,"BaseNumbers=""12199""; BypassPort=ARR_CORE_Rules.TPRules(1,1,-1,1,1,1,1,1); EndVoltageLimits=""0.825""; ExecutionMode=""SearchWithScoreboard""; FailCaptureCount=toInteger(1); FeatureSwitchSettings=ARR_CORE_CKX_Specs.FeatureSwitchNonMTT; FivrCondition=ARR_CORE_CKX_Specs.FivrConditionNom; ForwardingMode=ARR_CORE_CKX_Specs.ForwardingMode_EDC; InitialMaskBits=""0011""; LevelsTc=""ARR_CORE_CKX::arr_cpu_all_bf_x_x_ipc_lvl_PKG_BFUNC_ARR_MBIST_max_lvl""; MaxFailsNum=toInteger(20); MaxRepetitionCount=1; Patlist=ARR_CORE_Rules.TPRules(ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.dcm23plist_max_others,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48,ARR_CORE_CKX_Specs.allplist_max_48); PatternNameCounterIndexes=ARR_CORE_CKX_Specs.PatternMap; PinMap=ARR_CORE_CKX_Specs.Recovery_PinMap; RecoveryMode=ARR_CORE_CKX_Specs.Recovery_Mode; RecoveryOptions=__shared__::Recovery_Single.F1F4_recovery_opt_CR; RecoveryTrackingIncoming=ARR_CORE_CKX_Specs.RecoveryTracker_Incoming; RecoveryTrackingOutgoing=ARR_CORE_CKX_Specs.RecoveryTracker_Outgoing; ScoreboardEdgeTicks=toInteger(0); SetPointsPlistParamName=""Patlist""; SetPointsPreInstance=""MCdrv:corefreq0_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq1_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq2_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:corefreq3_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:"" + ARR_CORE_CKX_Specs.ringfreq + "":"" + __shared__::FlowMatrixSingular.CCF_F1_FREQ + ""GHz""; StartVoltages=""0.825""; StepSize=toDouble(0.01); TestMode=""Scoreboard""; TimingsTc=ARR_CORE_CKX_Specs.timingRules; VoltageTargets=ARR_CORE_CKX_Specs.CORE_PMUCS_VoltageTarget",No
Class_NVL_P16C,_,SSA_CORE_VMIN_K_ENDCPUPKG_X_CRA_MIN_X_PMUCS_ALL,ARR_CORE_CKX_ENDCPUPKG,VminTC,"BaseNumbers=""12151""; BypassPort=ARR_CORE_Rules.TPRules(-1,1,1,-1,-1,-1,-1,-1); EndVoltageLimits=""0.625""; ExecutionMode=""SearchWithScoreboard""; FailCaptureCount=toInteger(1); FeatureSwitchSettings=ARR_CORE_CKX_Specs.FeatureSwitchNonMTT; FivrCondition=ARR_CORE_CKX_Specs.FivrConditionNom; ForwardingMode=ARR_CORE_CKX_Specs.ForwardingMode_EDC; LevelsTc=""ARR_CORE_CKX::arr_cpu_all_bf_x_x_ipc_lvl_PKG_BFUNC_ARR_MBIST_min_lvl""; MaxFailsNum=toInteger(20); MaxRepetitionCount=1; Patlist=ARR_CORE_Rules.TPRules(ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.dcm01plist_min_others,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48); PatternNameCounterIndexes=ARR_CORE_CKX_Specs.PatternMap; PinMap=ARR_CORE_CKX_Specs.Recovery_PinMap; RecoveryMode=ARR_CORE_CKX_Specs.Recovery_Mode; RecoveryOptions=__shared__::Recovery_Single.F1F4_recovery_opt_CR; RecoveryTrackingIncoming=ARR_CORE_CKX_Specs.RecoveryTracker_In_Rules; RecoveryTrackingOutgoing=ARR_CORE_CKX_Specs.RecoveryTracker_Out_Rules; ScoreboardEdgeTicks=toInteger(0); SetPointsPlistParamName=""Patlist""; SetPointsPreInstance=""MCdrv:"" + ARR_CORE_CKX_Specs.corefreq + "":"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,MCdrv:"" + ARR_CORE_CKX_Specs.ringfreq + "":"" + __shared__::FlowMatrixSingular.CCF_F1_FREQ + ""GHz,MCdrv:atomfreq_0:"" + __shared__::FlowMatrixSingular.AT_F1_FREQ + ""GHz""; StartVoltages=""0.625""; StepSize=toDouble(0.01); TestMode=""Scoreboard""; TimingsTc=ARR_CORE_CKX_Specs.timingRules; VoltageTargets=ARR_CORE_CKX_Specs.CORE_PMUCS_VoltageTarget",No
Class_NVL_P16C,_,SSA_CORE_VMIN_K_ENDCPUPKG_X_CRA_MIN_X_PMUCS_ALL_C0C1,ARR_CORE_CKX_ENDCPUPKG,VminTC,"BaseNumbers=""12196""; BypassPort=ARR_CORE_Rules.TPRules(1,1,-1,1,1,1,1,1); EndVoltageLimits=""0.625""; ExecutionMode=""SearchWithScoreboard""; FailCaptureCount=toInteger(1); FeatureSwitchSettings=ARR_CORE_CKX_Specs.FeatureSwitchNonMTT; FivrCondition=ARR_CORE_CKX_Specs.FivrConditionNom; ForwardingMode=ARR_CORE_CKX_Specs.ForwardingMode_EDC; InitialMaskBits=""1100""; LevelsTc=""ARR_CORE_CKX::arr_cpu_all_bf_x_x_ipc_lvl_PKG_BFUNC_ARR_MBIST_min_lvl""; MaxFailsNum=toInteger(20); MaxRepetitionCount=1; Patlist=ARR_CORE_Rules.TPRules(ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.dcm01plist_min_others,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48,ARR_CORE_CKX_Specs.allplist_min_48); PatternNameCounterIndexes=ARR_CORE_CKX_Specs.PatternMap; PinMap=ARR_CORE_CKX_Specs.Recovery_PinMap; RecoveryMode=ARR_CORE_CKX_Specs.Recovery_Mode; RecoveryOptions=__shared__::Recovery_Single.F1F4_recovery_opt_CR; RecoveryTrackingIncoming=ARR_CORE_CKX_Specs.RecoveryTracker_Incoming; RecoveryTrackingOutgoing=ARR_CORE_CKX_Specs.RecoveryTracker_Outgoing; ScoreboardEdgeTicks=toInteger(0); SetPointsPlistParamName=""Patlist""; SetPointsPreInstance=""MCdrv:corefreq3_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq2_0:"" + ""0.8GHz,"" + ""MCdrv:corefreq1_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:corefreq0_0:"" + __shared__::FlowMatrixSingular.CR_F1_FREQ + ""GHz,"" + ""MCdrv:"" + ARR_CORE_CKX_Specs.ringfreq + "":"" + __shared__::FlowMatrixSingular.CCF_F1_FREQ + ""GHz""; StartVoltages=""0.625""; StepSize=toDouble(0.01); TestMode=""Scoreboard""; TimingsTc=ARR_CORE_CKX_Specs.timingRules; VoltageTargets=ARR_CORE_CKX_Specs.CORE_PMUCS_VoltageTarget",No
