Pin,Field,Size,ItuffToken,Function
IPC::CPU_TDO,SHIM2_PGRM_ABORT_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_PGRM_ABORT=[SHIM2_PGRM_ABORT])
IPC::CPU_TDO,SHIM2_RESERVED_1_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_RESERVED_1=[SHIM2_RESERVED_1])
IPC::CPU_TDO,SHIM7_RESERVED,3,G_CPU0_SHIM7_RESERVED,-
IPC::CPU_TDO,SHIM7_ECC_CORR_COUNT,13,G_CPU0_SHIM7_ECC_CORR_COUNT,-
IPC::CPU_TDO,SHIM7_ECC_1ST_CORR_ADDR,16,G_CPU0_SHIM7_ECC_1ST_CORR_ADDR,-
IPC::CPU_TDO,SHIM7_RESERVED_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM7_RESERVED=[SHIM7_RESERVED])
IPC::CPU_TDO,SHIM7_ECC_CORR_COUNT_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM7_ECC_CORR_COUNT=[SHIM7_ECC_CORR_COUNT])
IPC::CPU_TDO,SHIM7_ECC_1ST_CORR_ADDR_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM7_ECC_1ST_CORR_ADDR=[SHIM7_ECC_1ST_CORR_ADDR])
IPC::CPU_TDO,SHIM8_ECC_DECODE_VAL,6,G_CPU0_SHIM8_ECC_DECODE_VAL,-
IPC::CPU_TDO,SHIM8_ECC_SYN,6,G_CPU0_SHIM8_ECC_SYN,-
IPC::CPU_TDO,SHIM8_ECC_ENCODE_VAL,6,G_CPU0_SHIM8_ECC_ENCODE_VAL,-
IPC::CPU_TDO,SHIM8_ECC_CORR_STATUS,2,G_CPU0_SHIM8_ECC_CORR_STATUS,-
IPC::CPU_TDO,SHIM8_ECC_1ST_CORR_ROW_SYN,6,G_CPU0_SHIM8_ECC_1ST_CORR_ROW_SYN,-
IPC::CPU_TDO,SHIM8_RESERVED,6,G_CPU0_SHIM8_RESERVED,-
IPC::CPU_TDO,SHIM8_ECC_DECODE_VAL_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_DECODE_VAL=[SHIM8_ECC_DECODE_VAL])
IPC::CPU_TDO,SHIM8_ECC_SYN_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_SYN=[SHIM8_ECC_SYN])
IPC::CPU_TDO,SHIM8_ECC_ENCODE_VAL_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_ENCODE_VAL=[SHIM8_ECC_ENCODE_VAL])
IPC::CPU_TDO,SHIM8_ECC_CORR_STATUS_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_CORR_STATUS=[SHIM8_ECC_CORR_STATUS])
IPC::CPU_TDO,SHIM8_ECC_1ST_CORR_ROW_SYN_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_1ST_CORR_ROW_SYN=[SHIM8_ECC_1ST_CORR_ROW_SYN])
IPC::CPU_TDO,SHIM8_RESERVED_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_RESERVED=[SHIM8_RESERVED])
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_CODE,6,G_CPU0_SHIM9_ECC_1ST_UNCOR_R_CODE,-
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_SYN,6,G_CPU0_SHIM9_ECC_1ST_UNCOR_R_SYN,-
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_ADDR,16,G_CPU0_SHIM9_ECC_1ST_UNCOR_R_ADDR,-
IPC::CPU_TDO,SHIM9_RESERVED,4,G_CPU0_SHIM9_RESERVED,-
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_CODE_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM9_ECC_1ST_UNCOR_R_CODE=[SHIM9_ECC_1ST_UNCOR_R_CODE])
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_SYN_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM9_ECC_1ST_UNCOR_R_SYN=[SHIM9_ECC_1ST_UNCOR_R_SYN])
IPC::CPU_TDO,SHIM9_ECC_1ST_UNCOR_R_ADDR_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM9_ECC_1ST_UNCOR_R_ADDR=[SHIM9_ECC_1ST_UNCOR_R_ADDR])
IPC::CPU_TDO,SHIM9_RESERVED_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM9_RESERVED=[SHIM9_RESERVED])
IPC::CPU_TDO,SHIM10_ECC_UNCORR_COUNT,13,G_CPU0_SHIM10_ECC_UNCORR_COUNT,-
IPC::CPU_TDO,SHIM10_RESERVED,19,G_CPU0_SHIM10_RESERVED,-
IPC::CPU_TDO,SHIM10_ECC_UNCORR_COUNT_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM10_ECC_UNCORR_COUNT=[SHIM10_ECC_UNCORR_COUNT])
IPC::CPU_TDO,SHIM10_RESERVED_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM10_RESERVED=[SHIM10_RESERVED])
