MAX_PCIE_SPEED_CONTROLLER_B,string,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4
MAX_PCIE_SPEED_CONTROLLER_A,string,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4
MAX_PCIE_SPEED,string,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5
MAX_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_HSIO_USB_LANES,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX_HSIO_UFS_PORTS,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAX_HSIO_SATA_LANES,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_HSIO_PCIE_LANES,string,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
MAX_HSIO_GBE_LANES,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAX_DIGITAL_DISPLAY_INTERFACES,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MARKETING_VOLT_NAME,string,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV
LPM_ENABLED,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
LPE_TURBO_FREQUENCY_RATE_UOM,string,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0
LPE_TURBO_FREQUENCY_RATE,string,2.8,3,2.8,3,2.8,3,3,3,3,2.9,2.9,3,3,3,2.9,3,3,3,3.4,3,3,2.8,3.4,3,3,2.8,3,3,2.9
LOWEST_PACKAGE_CORE_STATE_CODE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
