Pin,CFG,HIP,INV,NAND,NOR,RPT,Field,Size,Base,ExpectedData,LowLimit,HighLimit,Equation,StringData,ExitPort,ItuffToken
IPC::CPU_TDO,2,0,2,2,2,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,4,0,4,4,4,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,5,0,5,5,5,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,6,0,6,6,6,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,7,0,7,7,7,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,8,0,8,8,8,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,9,0,9,9,9,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,10,0,10,10,10,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,11,0,11,11,11,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,12,0,12,12,12,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,13,0,13,13,13,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,14,0,14,14,14,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,15,0,15,15,15,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,4,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,5,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,6,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,16,0,0,0,15,7,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,17,0,0,15,0,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,17,0,0,15,0,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
